Temperature (C),Weight % (%)
30.22,99.951
31.22,99.992
32.22,100.013
33.22,100.011
34.22,100.011
35.22,100.013
36.22,100.009
37.22,100.006
38.22,99.998
39.22,99.991
40.22,99.981
41.22,99.972
42.22,99.959
43.22,99.947
44.22,99.94
45.22,99.928
46.22,99.915
47.22,99.904
48.22,99.893
49.22,99.881
50.22,99.863
51.22,99.851
52.22,99.832
53.22,99.815
54.22,99.795
55.22,99.778
56.22,99.757
57.22,99.742
58.22,99.729
59.22,99.708
60.22,99.689
61.22,99.67
62.22,99.657
63.22,99.64
64.22,99.621
65.22,99.606
66.22,99.586
67.22,99.57
68.22,99.554
69.22,99.533
70.22,99.514
71.22,99.497
72.22,99.486
73.22,99.466
74.22,99.449
75.22,99.435
76.22,99.42
77.22,99.401
78.22,99.384
79.22,99.371
80.22,99.356
81.22,99.344
82.22,99.329
83.22,99.316
84.22,99.299
85.22,99.286
86.22,99.277
87.22,99.263
88.22,99.247
89.22,99.228
90.22,99.214
91.22,99.199
92.22,99.188
93.22,99.173
94.22,99.16
95.22,99.145
96.22,99.129
97.22,99.116
98.22,99.101
99.22,99.084
100.22,99.071
101.22,99.068
102.22,99.054
103.22,99.036
104.22,99.02
105.22,98.997
106.22,98.981
107.22,98.97
108.22,98.953
109.22,98.936
110.22,98.923
111.22,98.9
112.22,98.89
113.22,98.879
114.22,98.866
115.22,98.851
116.22,98.84
117.22,98.826
118.22,98.81
119.22,98.796
120.22,98.782
121.22,98.764
122.22,98.753
123.22,98.737
124.22,98.717
125.22,98.7
126.22,98.683
127.22,98.659
128.22,98.638
129.22,98.623
130.22,98.606
131.22,98.585
132.22,98.565
133.22,98.549
134.22,98.536
135.22,98.518
136.22,98.506
137.22,98.489
138.22,98.473
139.22,98.459
140.22,98.446
141.22,98.433
142.22,98.416
143.22,98.403
144.22,98.387
145.22,98.374
146.22,98.357
147.22,98.356
148.22,98.339
149.22,98.314
150.22,98.291
151.22,98.286
152.22,98.28
153.22,98.273
154.22,98.263
155.22,98.256
156.22,98.246
157.22,98.239
158.22,98.23
159.22,98.222
160.22,98.212
161.22,98.205
162.22,98.197
163.22,98.19
164.22,98.182
165.22,98.175
166.22,98.169
167.22,98.163
168.22,98.156
169.22,98.148
170.22,98.136
171.22,98.129
172.22,98.122
173.22,98.116
174.22,98.111
175.22,98.105
176.22,98.101
177.22,98.093
178.22,98.086
179.22,98.073
180.22,98.069
181.22,98.061
182.22,98.056
183.22,98.05
184.22,98.045
185.22,98.043
186.22,98.037
187.22,98.033
188.22,98.026
189.22,98.016
190.22,98.011
191.22,98.005
192.22,98
193.22,97.996
194.22,97.986
195.22,97.982
196.22,97.977
197.22,97.971
198.22,97.967
199.22,97.96
200.22,97.956
201.22,97.952
202.22,97.945
203.22,97.939
204.22,97.935
205.22,97.93
206.22,97.926
207.22,97.922
208.22,97.918
209.22,97.916
210.22,97.911
211.22,97.905
212.22,97.901
213.22,97.896
214.22,97.89
215.22,97.886
216.22,97.879
217.22,97.873
218.22,97.868
219.22,97.862
220.22,97.856
221.22,97.849
222.22,97.843
223.22,97.837
224.22,97.832
225.22,97.828
226.22,97.823
227.22,97.819
228.22,97.809
229.22,97.804
230.22,97.8
231.22,97.796
232.22,97.792
233.22,97.787
234.22,97.773
235.22,97.777
236.22,97.77
237.22,97.753
238.22,97.739
239.22,97.741
240.22,97.743
241.22,97.741
242.22,97.736
243.22,97.723
244.22,97.706
245.22,97.704
246.22,97.698
247.22,97.696
248.22,97.69
249.22,97.685
250.22,97.677
251.22,97.67
252.22,97.662
253.22,97.657
254.22,97.647
255.22,97.638
256.22,97.629
257.22,97.621
258.22,97.611
259.22,97.602
260.22,97.591
261.22,97.581
262.22,97.574
263.22,97.564
264.22,97.555
265.22,97.545
266.22,97.536
267.22,97.525
268.22,97.516
269.22,97.508
270.22,97.5
271.22,97.493
272.22,97.485
273.22,97.478
274.22,97.47
275.22,97.461
276.22,97.449
277.22,97.44
278.22,97.434
279.22,97.425
